sec,nsec
8329,250908107
8329,261331504
8329,271670683
8329,281984914
8329,292246020
8329,301103434
8329,310922094
8329,320737264
8329,331548733
8329,341364632
8329,351180167
8329,360993619
8329,370806081
8329,381614997
8329,391426209
8329,401237890
8329,411049258
8329,420875522
8329,431705532
8329,441521067
8329,451331498
8329,461141616
8329,470954651
8329,480766592
8329,491576551
8329,501387138
8329,511199704
8329,521011749
8329,530829315
8329,541639169
8329,551453142
8329,561265135
8329,571077336
8329,580886621
8329,591697569
8329,601508937
8329,611320618
8329,621129539
8329,630944553
8329,640757015
8329,651568952
8329,661378081
8329,671188095
8329,681000348
8329,690810206
8329,701619956
8329,711432210
8329,721246859
8329,731059269
8329,740868710
8329,751681533
8329,761492797
8329,771303749
8329,781111888
8329,790924090
8329,800735354
8329,811543801
8329,821353607
8329,831166017
8329,841034312
8329,850905576
8329,860747986
8329,871568100
8329,881381500
8329,891193962
8329,901002465
8329,910820032
8329,921646031
8329,931476983
8329,941290382
8329,951100397
8329,960912077
8329,970725685
8329,981571841
8329,991404876
8330,001224369
8330,011246414
8330,021250958
8330,031256180
8330,041262131
8330,051266519
8330,061267678
8330,071271650
8330,081282705
8330,091286781
8330,101288565
8330,111299255
8330,121112030
8330,130923034
8330,140734819
8330,151545975
8330,161357447
8330,171169128
8330,180977007
8330,190788427
8330,201596093
8330,211411576
8330,221221851
8330,231034261
8330,240843025
8330,251672514
8330,261492320
8330,271307542
8330,281120004
8330,290931841
8330,300741335
8330,311559001
8330,321371619
8330,331182050
8330,340993939
8330,350803016
8330,361615578
8330,371427728
8330,381235763
8330,391047339
8330,400855374
8330,411672520
8330,421501753
8330,431358589
8330,441172718
8330,450983305
8330,460792746
8330,471604215
8330,481416468
8330,491225962
8330,501036757
8330,510859532
8330,521674021
8330,531486639
8330,541294987
8330,551117449
8330,560982202
8330,570801800
8330,581611810
8330,591423803
8330,601232411
8330,611052269
8330,620861554
8330,631673699
8330,641485380
8330,651296905
8330,661104887
8330,670915474
8330,680739343
8330,691586124
8330,701400721
8330,711221568
8330,721042989
8330,730856544
8330,741667076
8330,751480527
8330,761293145
8330,771105555
8330,780913538
8330,790725531
8330,801534135
8330,811352379
8330,821161507
8330,830974646
8330,840788098
8330,851598837
8330,861465310
8330,871279438
8330,881089609
8330,890902696
8330,901715675
8330,911539230
8330,921361953
8330,931210456
8330,941027189
8330,950838505
8330,961647630
8330,971458478
8330,981269221
8330,991080120
8331,000892947
8331,010909419
8331,020912192
8331,030918508
8331,040922792
8331,050927233
8331,060928496
8331,070933093
8331,080937741
8331,090941713
8331,100942299
8331,110951583
8331,120763941
8331,131572806
8331,141382664
8331,151194813
8331,161006181
8331,170817550
8331,181625685
8331,191437366
8331,201246182
8331,211061821
8331,220871939
8331,231684293
8331,241493005
8331,251319842
8331,261205741
8331,271087995
8331,280963477
8331,290783596
8331,301600116
8331,311420287
8331,321237124
8331,331049429
8331,340858506
8331,351670600
8331,361482749
8331,371294274
8331,381110798
8331,391000760
8331,400857440
8331,411725055
8331,421552985
8331,431432166
8331,441247649
8331,451058756
8331,460868354
8331,471681177
8331,481490305
8331,491299955
8331,501111219
8331,510932587
8331,520745778
8331,531558184
8331,541370855
