sec,nsec
6529,790306858
6529,797326728
6529,804426441
6529,819851279
6529,826960783
6529,834339506
6529,841528489
6529,856297705
6529,863596583
6529,871436346
6529,881592297
6529,895923754
6529,904864502
6529,912302026
6529,922251416
6529,940184786
6529,947285489
6529,954489003
6529,961585539
6529,980178907
6529,987317214
6529,994637551
6530,001871534
6530,011513633
6530,030181532
6530,037475671
6530,044825800
6530,052157075
6530,065438692
6530,072954757
6530,088565688
6530,096054046
6530,103639434
6530,112051434
6530,121627804
6530,131981828
6530,141257157
6530,151605348
6530,161784737
6530,172108084
6530,181395913
6530,191573167
6530,201711983
6530,211982517
6530,221283108
6530,231540830
6530,241714646
6530,253866319
6530,262173423
6530,275521863
6530,283035428
6530,291520865
6530,301856920
6530,311295583
6530,330268949
6530,337542932
6530,345103008
6530,352540897
6530,362016695
6530,371520253
6530,382022453
6530,391506688
6530,402237638
6530,411699946
6530,422196417
6530,431798621
6530,441343220
6530,452055055
6530,470845766
6530,478425217
6530,485906960
6530,493262193
6530,502219034
6530,511333323
6530,521560316
6530,532084391
6530,541311283
6530,551448902
6530,561835894
6530,571277265
6530,581711601
6530,592144166
6530,601984025
6530,616115222
6530,623577590
6530,632425890
6530,647955727
6530,655616688
6530,663222024
6530,671264338
6530,681648622
6530,692409675
6530,702393180
6530,720278269
6530,727578189
6530,734994151
6530,742451988
6530,751850546
6530,761345250
6530,771910992
6530,781950173
6530,791446648
6530,801807651
6530,811289074
6530,821737576
6530,832184985
6530,841653283
6530,852080900
6530,870292238
6530,877607263
6530,884961506
6530,892373561
6530,902078733
6530,911551146
6530,922005950
6530,931442998
6530,941894574
6530,951448809
6530,961894395
6530,971544619
6530,984600560
6531,003356323
6531,014136595
6531,023870360
6531,033712042
6531,044512418
6531,054440090
6531,064299688
6531,074305119
6531,084165291
6531,094037389
6531,104066779
6531,118392402
6531,125781176
6531,134443592
6531,144038139
6531,153593260
6531,164167282
6531,180239410
6531,187505372
6531,194843001
6531,203416719
6531,213871002
6531,224387421
6531,234138062
6531,243662922
6531,254126997
6531,263684670
6531,274214526
6531,283757720
6531,294284555
6531,310240433
6531,317512906
6531,324807201
6531,334394561
6531,343909682
6531,354403392
6531,363945700
6531,374558421
6531,384100104
6531,393634548
6531,404387372
6531,413946190
6531,424446515
6531,440241248
6531,447552471
6531,454948172
6531,464403084
6531,473885341
6531,484425093
6531,493989380
6531,503779499
6531,514344981
6531,523885622
6531,534503655
6531,544049453
6531,560198455
6531,567503896
6531,574805744
6531,584301906
6531,593784006
6531,604504955
6531,613956899
6531,623779987
6531,634277760
6531,643795902
6531,654474976
6531,664093690
6531,673604540
6531,687994538
6531,695386698
6531,703960416
6531,714509387
6531,724070236
6531,733608326
6531,744146047
6531,753667834
6531,764237169
6531,773825883
6531,784357667
6531,794177213
6531,803944312
6531,814461460
6531,830198380
6531,837542936
6531,844856398
6531,854347196
6531,863877369
6531,874400715
6531,884006824
6531,893622049
6531,904407217
6531,913960098
6531,924407715
6531,934017366
6531,950218243
6531,957623997
6531,964892615
6531,973729822
6531,984213897
6531,993777715
6532,003505335
6532,014279097
6532,024038435
6532,033694805
6532,044387578
6532,054062646
6532,063892765
6532,073635749
6532,084421751
6532,094247703
6532,104229593
6532,113849349
6532,123732280
6532,134211460
6532,143709080
6532,154286176
6532,163801557
6532,174314382
6532,183866742
6532,194323474
6532,210198258
6532,217464898
6532,224872891
6532,234303324
6532,243807403
6532,254280333
6532,263834307
6532,274328643
6532,283845743
6532,294366433
6532,304209781
6532,313705735
6532,324121894
6532,333696806
6532,344300308
6532,354063188
6532,363626954
6532,374185717
6532,383704692
6532,403967011
6532,421570227
6532,440433333
6532,460239561
6532,467293649
6532,474418466
6532,481574533
6532,501448573
6532,512588688
6532,521682091
6532,531781480
6532,541928265
6532,552086092
6532,562197252
6532,572315964
6532,582466811
6532,592634794
6532,601810853
6532,612032221
6532,622401193
6532,632490790
6532,642602888
6532,651736656
6532,661880576
6532,672031788
6532,682165865
6532,692295462
6532,702361102
6532,712516011
6532,721671238
6532,731873543
6532,742042307
6532,752258258
6532,762571449
6532,771683081
6532,781837470
6532,791945922
6532,802014166
6532,812131263
6532,822247475
6532,832614728
6532,841743444
6532,851833927
6532,861961337
6532,872074268
6532,882221417
6532,892348775
6532,902425039
6532,912561564
6532,921673873
6532,931788263
6532,941909423
6532,952037666
6532,962162940
6532,972284621
6532,982387552
6532,992529702
6533,002612581
6533,011919994
6533,022219434
6533,032528666
6533,041857069
6533,052173593
6533,062505637
6533,071836904
6533,082157855
6533,092526879
6533,101850907
6533,112198993
6533,122304997
6533,132429177
6533,142596327
6533,151783480
